"","mod_name","beta","std","t.value","p.value","CI.Lower_95CI","CI.Upper_95CI","dependent","factor","p.corrected","Sig"
"507","vol.ASEG.tp~pt_m_INT",-3.131169e-02,0.03449283,-0.907773863,0.364529655,-0.099116049, 0.036492679,"vol.ASEG.tp","pt_m_INT",0.65615338,FALSE
"508","vol.ASEG.caudate~pt_m_INT", 5.980349e-02,0.04304149, 1.389438221,0.165451773,-0.024805433, 0.144412418,"vol.ASEG.caudate","pt_m_INT",0.51736253,FALSE
"509","vol.ASEG.putamen~pt_m_INT",-5.454238e-02,0.04453884,-1.224602642,0.221426401,-0.142094720, 0.033009962,"vol.ASEG.putamen","pt_m_INT",0.51736253,FALSE
"510","vol.ASEG.pallidum~pt_m_INT",-4.433552e-03,0.03762575,-0.117832928,0.906257602,-0.078396465, 0.069529361,"vol.ASEG.pallidum","pt_m_INT",0.90625760,FALSE
"511","vol.ASEG.hpus~pt_m_INT", 5.506320e-02,0.04172865, 1.319553909,0.187718570,-0.026965001, 0.137091400,"vol.ASEG.hpus","pt_m_INT",0.51736253,FALSE
"512","vol.ASEG.amygdala~pt_m_INT",-7.505598e-03,0.03833199,-0.195805092,0.844859494,-0.082856804, 0.067845608,"vol.ASEG.amygdala","pt_m_INT",0.90625760,FALSE
"513","vol.ASEG.aa~pt_m_INT",-2.628204e-02,0.03904943,-0.673045336,0.501296704,-0.103043568, 0.050479490,"vol.ASEG.aa","pt_m_INT",0.75194506,FALSE
"514","vol.ASEG.vedc~pt_m_INT",-4.472896e-02,0.03720278,-1.202301656,0.229938901,-0.117860413, 0.028402497,"vol.ASEG.vedc","pt_m_INT",0.51736253,FALSE
"515","bl.vol.ASEG.subcorticalgv~pt_m_INT",-1.339149e-02,0.03330952,-0.402031803,0.687869607,-0.078676945, 0.051893973,"bl.vol.ASEG.subcorticalgv","pt_m_INT",0.88440378,FALSE
"516","dtifa_fx~pt_m_INT",-1.126510e-01,0.04512272,-2.496548033,0.012949525,-0.201363154,-0.023938931,"dtifa_fx","pt_m_INT",0.25899051,FALSE
"517","dtifa_cgc~pt_m_INT",-1.628410e-02,0.04446487,-0.366223838,0.714395123,-0.103702863, 0.071134671,"dtifa_cgc","pt_m_INT",0.97039215,FALSE
"518","dtifa_cgh~pt_m_INT",-2.071914e-02,0.04300062,-0.481833461,0.630192464,-0.105259161, 0.063820884,"dtifa_cgh","pt_m_INT",0.97039215,FALSE
"519","dtifa_cst~pt_m_INT", 4.468843e-03,0.04553619, 0.098138256,0.921872543,-0.085056162, 0.093993847,"dtifa_cst","pt_m_INT",0.97039215,FALSE
"520","dtifa_atr~pt_m_INT",-1.336585e-02,0.04182853,-0.319539069,0.749487561,-0.095601517, 0.068869818,"dtifa_atr","pt_m_INT",0.97039215,FALSE
"521","dtifa_unc~pt_m_INT",-1.270315e-02,0.04323678,-0.293804375,0.769062492,-0.097707461, 0.072301153,"dtifa_unc","pt_m_INT",0.97039215,FALSE
"522","dtifa_ilf~pt_m_INT",-7.369269e-02,0.04765262,-1.546456293,0.122799261,-0.167378617, 0.019993242,"dtifa_ilf","pt_m_INT",0.49119704,FALSE
"523","dtifa_ifo~pt_m_INT",-5.215488e-02,0.04297889,-1.213499883,0.225667568,-0.136652171, 0.032342419,"dtifa_ifo","pt_m_INT",0.75222523,FALSE
"524","dtifa_slf~pt_m_INT",-7.898889e-02,0.04489543,-1.759396895,0.079288188,-0.167254146, 0.009276372,"dtifa_slf","pt_m_INT",0.39788003,FALSE
"525","dtifa_tslf~pt_m_INT",-7.757403e-02,0.04413367,-1.757706232,0.079576006,-0.164341660, 0.009193591,"dtifa_tslf","pt_m_INT",0.39788003,FALSE
"526","dtifa_pslf~pt_m_INT",-8.754321e-02,0.04504222,-1.943581066,0.052659496,-0.176097058, 0.001010637,"dtifa_pslf","pt_m_INT",0.39788003,FALSE
