Category	File.name	Field.name	Description
MRI_T_roi	abcd_smrip101	smri_thick_cdk_linguallh	Cortical thickness in mm of APARC ROI lh-lingual
MRI_T_roi	abcd_smrip101	smri_thick_cdk_mobfrlh	Cortical thickness in mm of APARC ROI lh-medialorbitofrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_mdtmlh	Cortical thickness in mm of APARC ROI lh-middletemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parahpallh	Cortical thickness in mm of APARC ROI lh-parahippocampal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_paracnlh	Cortical thickness in mm of APARC ROI lh-paracentral
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parsopclh	Cortical thickness in mm of APARC ROI lh-parsopercularis
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parsobislh	Cortical thickness in mm of APARC ROI lh-parsorbitalis
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parstgrislh	Cortical thickness in mm of APARC ROI lh-parstriangularis
MRI_T_roi	abcd_smrip101	smri_thick_cdk_pericclh	Cortical thickness in mm of APARC ROI lh-pericalcarine
MRI_T_roi	abcd_smrip101	smri_thick_cdk_postcnlh	Cortical thickness in mm of APARC ROI lh-postcentral
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ptcatelh	Cortical thickness in mm of APARC ROI lh-posteriorcingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_precnlh	Cortical thickness in mm of APARC ROI lh-precentral
MRI_T_roi	abcd_smrip101	smri_thick_cdk_pclh	Cortical thickness in mm of APARC ROI lh-precuneus
MRI_T_roi	abcd_smrip101	smri_thick_cdk_rracatelh	Cortical thickness in mm of APARC ROI lh-rostralanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_rrmdfrlh	Cortical thickness in mm of APARC ROI lh-rostralmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_sufrlh	Cortical thickness in mm of APARC ROI lh-superiorfrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_supllh	Cortical thickness in mm of APARC ROI lh-superiorparietal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_sutmlh	Cortical thickness in mm of APARC ROI lh-superiortemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_smlh	Cortical thickness in mm of APARC ROI lh-supramarginal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_frpolelh	Cortical thickness in mm of APARC ROI lh-frontalpole
MRI_T_roi	abcd_smrip101	smri_thick_cdk_tmpolelh	Cortical thickness in mm of APARC ROI lh-temporalpole
MRI_T_roi	abcd_smrip101	smri_thick_cdk_trvtmlh	Cortical thickness in mm of APARC ROI lh-transversetemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_insulalh	Cortical thickness in mm of APARC ROI lh-insula
MRI_T_roi	abcd_smrip101	smri_thick_cdk_banksstsrh	Cortical thickness in mm of APARC ROI rh-Banks of Superior Temporal Sulcus
MRI_T_roi	abcd_smrip101	smri_thick_cdk_cdacaterh	Cortical thickness in mm of APARC ROI rh-caudalanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_cdmdfrrh	Cortical thickness in mm of APARC ROI rh-caudalmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_cuneusrh	Cortical thickness in mm of APARC ROI rh-cuneus
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ehinalrh	Cortical thickness in mm of APARC ROI rh-entorhinal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_fusiformrh	Cortical thickness in mm of APARC ROI rh-fusiform
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ifplrh	Cortical thickness in mm of APARC ROI rh-inferiorparietal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_iftmrh	Cortical thickness in mm of APARC ROI rh-inferiortemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ihcaterh	Cortical thickness in mm of APARC ROI rh-isthmuscingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_loccrh	Cortical thickness in mm of APARC ROI rh-lateraloccipital
MRI_T_roi	abcd_smrip101	smri_thick_cdk_lobfrrh	Cortical thickness in mm of APARC ROI rh-lateralorbitofrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_lingualrh	Cortical thickness in mm of APARC ROI rh-lingual
MRI_T_roi	abcd_smrip101	smri_thick_cdk_mobfrrh	Cortical thickness in mm of APARC ROI rh-medialorbitofrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_mdtmrh	Cortical thickness in mm of APARC ROI rh-middletemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parahpalrh	Cortical thickness in mm of APARC ROI rh-parahippocampal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_paracnrh	Cortical thickness in mm of APARC ROI rh-paracentral
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parsopcrh	Cortical thickness in mm of APARC ROI rh-parsopercularis
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parsobisrh	Cortical thickness in mm of APARC ROI rh-parsorbitalis
MRI_T_roi	abcd_smrip101	smri_thick_cdk_parstgrisrh	Cortical thickness in mm of APARC ROI rh-parstriangularis
MRI_T_roi	abcd_smrip101	smri_thick_cdk_periccrh	Cortical thickness in mm of APARC ROI rh-pericalcarine
MRI_T_roi	abcd_smrip101	smri_thick_cdk_postcnrh	Cortical thickness in mm of APARC ROI rh-postcentral
MRI_T_roi	abcd_smrip101	smri_thick_cdk_ptcaterh	Cortical thickness in mm of APARC ROI rh-posteriorcingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_precnrh	Cortical thickness in mm of APARC ROI rh-precentral
MRI_T_roi	abcd_smrip101	smri_thick_cdk_pcrh	Cortical thickness in mm of APARC ROI rh-precuneus
MRI_T_roi	abcd_smrip101	smri_thick_cdk_rracaterh	Cortical thickness in mm of APARC ROI rh-rostralanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_thick_cdk_rrmdfrrh	Cortical thickness in mm of APARC ROI rh-rostralmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_sufrrh	Cortical thickness in mm of APARC ROI rh-superiorfrontal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_suplrh	Cortical thickness in mm of APARC ROI rh-superiorparietal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_sutmrh	Cortical thickness in mm of APARC ROI rh-superiortemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_smrh	Cortical thickness in mm of APARC ROI rh-supramarginal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_frpolerh	Cortical thickness in mm of APARC ROI rh-frontalpole
MRI_T_roi	abcd_smrip101	smri_thick_cdk_tmpolerh	Cortical thickness in mm of APARC ROI rh-temporalpole
MRI_T_roi	abcd_smrip101	smri_thick_cdk_trvtmrh	Cortical thickness in mm of APARC ROI rh-transversetemporal
MRI_T_roi	abcd_smrip101	smri_thick_cdk_insularh	Cortical thickness in mm of APARC ROI rh-insula
MRI_T_roi	abcd_smrip101	smri_thick_cdk_mean	Mean cortical thickness in mm for whole brain
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_banksstslh	Cortical sulcal depth in mm of APARC ROI lh-Banks of Superior Temporal Sulcus
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_cdacatelh	Cortical sulcal depth in mm of APARC ROI lh-caudalanteriorcingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_cdmdfrlh	Cortical sulcal depth in mm of APARC ROI lh-caudalmiddlefrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_cuneuslh	Cortical sulcal depth in mm of APARC ROI lh-cuneus
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ehinallh	Cortical sulcal depth in mm of APARC ROI lh-entorhinal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_fusiformlh	Cortical sulcal depth in mm of APARC ROI lh-fusiform
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ifpllh	Cortical sulcal depth in mm of APARC ROI lh-inferiorparietal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_iftmlh	Cortical sulcal depth in mm of APARC ROI lh-inferiortemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ihcatelh	Cortical sulcal depth in mm of APARC ROI lh-isthmuscingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_locclh	Cortical sulcal depth in mm of APARC ROI lh-lateraloccipital
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_lobfrlh	Cortical sulcal depth in mm of APARC ROI lh-lateralorbitofrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_linguallh	Cortical sulcal depth in mm of APARC ROI lh-lingual
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_mobfrlh	Cortical sulcal depth in mm of APARC ROI lh-medialorbitofrontal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_mdtmlh	Cortical sulcal depth in mm of APARC ROI lh-middletemporal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parahpallh	Cortical sulcal depth in mm of APARC ROI lh-parahippocampal
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_paracnlh	Cortical sulcal depth in mm of APARC ROI lh-paracentral
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parsopclh	Cortical sulcal depth in mm of APARC ROI lh-parsopercularis
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parsobislh	Cortical sulcal depth in mm of APARC ROI lh-parsorbitalis
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_parstgrislh	Cortical sulcal depth in mm of APARC ROI lh-parstriangularis
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_pericclh	Cortical sulcal depth in mm of APARC ROI lh-pericalcarine
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_postcnlh	Cortical sulcal depth in mm of APARC ROI lh-postcentral
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_ptcatelh	Cortical sulcal depth in mm of APARC ROI lh-posteriorcingulate
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_precnlh	Cortical sulcal depth in mm of APARC ROI lh-precentral
MRI_T_roi	abcd_smrip101	smri_sulc_cdk_pclh	Cortical sulcal depth in mm of APARC ROI lh-precuneus
